can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,Tot_Mon,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"GREEN, RAYMOND E. 'GENE'",H,DEM,INCUMBENT,TX,1734689.68,,1734689.68,1812940.85,1183124.25,1105862.23,1455824.78,1/1/2015,10/19/2016,Y,95508
"NAPOLITANO, GRACE",H,DEM,INCUMBENT,CA,716355.00,,716355.00,807996.32,251685.24,169500.61,773282.22,1/1/2015,10/19/2016,Y,93059
"VEASEY, MARC ALLISON MR.",H,DEM,INCUMBENT,TX,1278665.35,,1278665.35,1102432.50,204645.09,385733.35,1097277.09,1/1/2015,10/19/2016,Y,92914
"ANGELLE, SCOTT MR.",H,REP,CHALLENGER,LA,1100481.91,,1100481.91,1009934.43,,340913.24,1001153.67,1/1/2016,10/19/2016,Y,91374
"GALLEGO, RUBEN",H,DEM,INCUMBENT,AZ,1025225.14,,1025225.14,669300.92,24162.63,380086.85,483939.12,1/1/2015,10/19/2016,Y,88219
"JOHNSON, JAMES MICHAEL",H,REP,OPEN,LA,556029.98,,556029.98,464930.06,,141099.92,443730.06,1/1/2016,10/19/2016,Y,70556
"BARRAGAN, NANETTE",H,DEM,OPEN,CA,1467446.28,,1467446.28,1225625.44,,242120.85,1213945.71,4/5/2015,10/19/2016,Y,70303
"VALADAO, DAVID",H,REP,INCUMBENT,CA,2472268.03,,2472268.03,1791376.88,87286.45,778072.27,1757531.19,1/1/2015,10/19/2016,Y,68481
"DUCKWORTH, L TAMMY",S,DEM,CHALLENGER,IL,13164681.00,2334804.00,15499485.00,12991223.00,,2520008.00,12412571.00,3/30/2015,10/19/2016,Y,
"HASSAN, MARGARET WOOD",S,DEM,CHALLENGER,NH,14087592.00,1425077.00,15512669.00,13720969.00,,1805530.00,13622825.00,10/5/2015,10/19/2016,Y,
"SCHNEIDER, BRADLEY SCOTT",H,DEM,CHALLENGER,IL,4277241.68,,4277241.68,4270373.18,2467.29,147958.58,4185389.16,1/1/2015,10/19/2016,Y,
"FOX, RANDY",H,REP,CHALLENGER,CA,67065.00,,67065.00,67065.00,,,67065.00,1/1/2016,12/31/2016,,
"GRAHAM, JOHN COLLINS",S,REP,CHALLENGER,CO,483847.00,,483847.00,2365130.00,,,2358939.00,1/1/2016,12/31/2016,,
"CARO, SUZANNE M",H,REP,CHALLENGER,CA,4521.00,,4521.00,4521.00,,,3735.81,1/1/2016,11/28/2016,,
"EVANS, ROBERT S",H,REP,CHALLENGER,CA,2805.00,,2805.00,2805.00,,100.00,2805.00,1/1/2016,11/28/2016,,
"FISCHELLA, TYLER R",H,REP,CHALLENGER,CA,3502.65,,3502.65,3747.65,,,3747.65,1/1/2016,11/28/2016,,
"NANCE, KATHRYN D",H,REP,CHALLENGER,CA,68606.01,,68606.01,68609.37,,100.00,68351.76,1/1/2015,11/28/2016,,
"PETERSEN, ROGER",H,REP,CHALLENGER,CA,7789.50,,7789.50,7789.50,,1000.00,7046.88,1/1/2016,11/28/2016,,
"SANTAMARIA, CARLOS J",H,REP,CHALLENGER,CA,2700.00,,2700.00,2700.00,,,2700.00,1/1/2016,11/28/2016,,
"STINSON, BILL",H,NPA,CHALLENGER,FL,20500.00,,20500.00,13970.00,,7530.00,13970.00,4/1/2016,11/28/2016,,
"KEENAN, JAMES JR",H,NPA,CHALLENGER,NJ,202.48,,202.48,502.48,,,202.48,4/1/2016,11/15/2016,,
"CARDENAS, ANGEL",H,REP,CHALLENGER,CA,4105.06,,4105.06,4140.06,,,4029.13,1/1/2016,11/12/2016,,
"SEAMAN, JACK",H,LIB,CHALLENGER,ND,2530.00,,2530.00,2546.20,16.00,,2546.20,1/1/2015,11/10/2016,,
"TURNER, DANNY REID",H,REP,CHALLENGER,CA,532.75,,532.75,632.75,,,632.75,1/1/2016,11/10/2016,,
"LANCASTER, GORDON K CA",H,REP,CHALLENGER,CA,5100.00,,5100.00,5500.00,,,5500.00,4/1/2016,11/9/2016,,
"ENDRISS, DONALD",H,NPA,CHALLENGER,FL,,,0.00,23459.36,,1540.64,8459.36,4/1/2016,11/8/2016,,
"KLEPINGER, ROBERT P",H,DEM,CHALLENGER,OH,,,0.00,8434.05,,,,11/5/2014,11/8/2016,,
"SAVITT, MARC",H,REP,CHALLENGER,WV,39106.50,,39106.50,39106.46,,,39106.46,10/1/2015,11/8/2016,,
"WIESNER, PATRICK",S,DEM,CHALLENGER,KS,15026.00,,15026.00,29603.00,2653.00,8070.00,29603.00,1/1/2015,10/28/2016,,
"MILSTEIN, LYLE",H,NPA,CHALLENGER,FL,,,0.00,10398.00,,,,6/25/2016,10/27/2016,,
"TOMASZEWSKI, SCOT JOHN",H,IND,CHALLENGER,NJ,,,0.00,4992.00,,,,1/1/2015,10/27/2016,,
"STINE, KEVIN ",S,DEM,CHALLENGER,OR,5735.00,,5735.00,8733.00,,,6436.00,9/1/2015,10/25/2016,,
"BUCHHOLZ, MYRON EARL MR.",H,DEM,CHALLENGER,WI,31291.31,,31291.31,31376.31,,,31376.31,1/1/2016,10/24/2016,,
"CARROLL, JOHN STANLEY",S,REP,CHALLENGER,HI,31943.00,,31943.00,40579.00,,2364.00,40579.00,6/10/2016,10/24/2016,,
"COVERDALE, MICHAEL DUANE",H,IND,CHALLENGER,WA,3054.00,,3054.00,9171.00,,,8171.00,4/1/2016,10/22/2016,,
"LEE, PATRICK",S,IND,CHALLENGER,MO,5611.00,,5611.00,5361.00,,250.00,5361.00,1/14/2016,10/21/2016,,
"CRAIG, BRECK ANDREW MR",S,UNK,CHALLENGER,AK,5471.00,,5471.00,21371.00,,90.00,21371.00,4/1/2016,10/20/2016,,
"JONES, JEFF",H,REP,CHALLENGER,MI,18375.00,,18375.00,8701.00,,2173.00,8701.00,4/1/2016,10/20/2016,,
"ALARCON, RICHARD ANTHONY MR.",H,DEM,CHALLENGER,CA,69834.33,,69834.33,70693.93,,140.40,69538.70,1/1/2016,10/19/2016,,
"ALBARRAN, CHARLENE MCARTHUR",H,DEM,CHALLENGER,UT,562223.00,,562223.00,555400.34,,8328.02,548462.32,9/1/2015,10/19/2016,,
"ALBERTSON, ED",H,DEM,CHALLENGER,OH,27043.95,,27043.95,18413.17,,9630.78,18413.17,12/8/2015,10/19/2016,,
"ALLIEGRO, MARK C",H,REP,CHALLENGER,MA,218720.80,,218720.80,205609.17,-547.49,54564.14,205584.17,1/1/2015,10/19/2016,,
"AMADOR, ANTONIO C",H,REP,CHALLENGER,CA,48462.25,,48462.25,34903.58,1671.84,15230.51,30903.58,1/1/2015,10/19/2016,,
"APPLEGATE, DOUGLAS LOREN",H,DEM,CHALLENGER,CA,1260961.06,,1260961.06,975048.75,,286942.42,959079.59,7/1/2015,10/19/2016,,
"ARMENDARIZ, VICTOR",H,REP,CHALLENGER,GA,6920.00,,6920.00,5448.00,,1469.00,5448.00,1/1/2016,10/19/2016,,
"ARNESS, MARK KENNETH",H,REP,CHALLENGER,MD,22319.79,,22319.79,42132.30,,7087.49,41632.30,1/1/2015,10/19/2016,,
"ASSINI, MARK W",H,REP,CHALLENGER,NY,209409.41,,209409.41,193415.43,830.11,16824.09,193415.43,1/1/2015,10/19/2016,,
"ATHANASOPOULOS, GEORGE MR.",H,REP,CHALLENGER,CO,50356.00,,50356.00,45259.51,,5096.49,44259.51,1/1/2016,10/19/2016,,
"BALCHUNIS, MARY ELLEN",H,DEM,CHALLENGER,PA,182209.92,,182209.92,132313.64,202.19,50098.47,128619.36,1/1/2015,10/19/2016,,
"BARICEVIC, CHARLES JOHN",H,DEM,CHALLENGER,IL,950960.89,,950960.89,852636.19,,98324.70,837588.33,4/1/2015,10/19/2016,,
"BARKSDALE, JAMES FREEMAN",S,DEM,CHALLENGER,GA,511797.00,,511797.00,4772457.00,1085080.00,601077.00,4770944.00,4/1/2016,10/19/2016,,
"BARRERA, RAUL (ROY)",H,DEM,CHALLENGER,TX,19411.53,,19411.53,20852.64,,1706.35,18498.17,1/1/2016,10/19/2016,,
"BARRON, WILLIAM CURRIE",S,UN,CHALLENGER,UT,12756.00,,12756.00,13139.00,3722.00,3342.00,12870.00,1/1/2015,10/19/2016,,
"BARTLEY, LORI ANITA MRS.",H,REP,CHALLENGER,TX,29593.87,,29593.87,34366.17,,-495.95,34241.17,4/1/2015,10/19/2016,,
"BASLER, DOUGLAS MICHAEL",H,REP,CHALLENGER,WA,29951.55,,29951.55,27867.72,-487.69,1621.14,27362.72,1/1/2015,10/19/2016,,
"BEDELL, EILEEN MCNEIL",H,DEM,CHALLENGER,VA,174143.22,,174143.22,184975.52,,-1948.74,176091.64,1/1/2016,10/19/2016,,
"BELL, DOUGLAS ANTHONY",H,REP,CHALLENGER,GA,9913.57,,9913.57,9653.85,,146.72,4424.91,1/6/2015,10/19/2016,,
"BENNETT, LUANN",H,DEM,CHALLENGER,VA,2121534.46,,2121534.46,2128900.61,,82633.85,1976059.94,10/1/2015,10/19/2016,,
"BENTIVOLIO, KERRY",H,REP,CHALLENGER,MI,27165.00,,27165.00,25091.37,3052.51,-8161.55,4618.83,1/1/2015,10/19/2016,,
"BJORN, ARIK",H,DEM,CHALLENGER,SC,62237.64,,62237.64,53424.21,,8913.43,53329.21,2/15/2016,10/19/2016,,
"BLOOM, TODD ANTHONY",H,REP,CHALLENGER,WA,8435.00,,8435.00,6702.00,,2893.00,10852.00,5/19/2016,10/19/2016,,
"BONOFF, TERRI",H,DFL,CHALLENGER,MN,1660038.22,,1660038.22,1445902.64,,215001.59,1441701.63,4/1/2016,10/19/2016,,
"BOUIE II, JOHN MR",H,REP,CHALLENGER,MS,,,0.00,,,,,1/1/2016,10/19/2016,,
"BOYD, WILLIE WILL"" DR. JR.""",H,DEM,CHALLENGER,AL,52983.73,,52983.73,54923.85,,983.08,54923.85,7/1/2015,10/19/2016,,
"BRADDY, SEAN D",S,IND,CHALLENGER,OK,12259.00,,12259.00,12751.00,,-492.00,12705.00,4/15/2016,10/19/2016,,
"BRADSHAW, PAULA",H,GRE,CHALLENGER,IL,2508.53,,2508.53,1875.53,835.40,1525.40,1875.53,1/1/2015,10/19/2016,,
"BRYAN, PAT",H,DEM,CHALLENGER,TX,120.00,,120.00,13548.18,685.12,1893.48,7349.78,10/1/2015,10/19/2016,,
"BRYSON, FREDERICK EDGAR (RICK)",H,DEM,CHALLENGER,NC,29580.00,,29580.00,30278.11,,12811.89,28218.11,8/5/2015,10/19/2016,,
"BURKE, WILLIAM F",H,REP,CHALLENGER,MA,45450.00,,45450.00,41401.27,1859.84,-4069.85,41401.27,7/1/2016,10/19/2016,,
"CAFORIO, BRYAN",H,DEM,CHALLENGER,CA,1319070.10,15190.49,1334260.59,1273383.33,,80237.50,1245092.13,10/1/2015,10/19/2016,,
"CAIN, EMILY",H,DEM,CHALLENGER,ME,3106870.48,,3106870.48,3002007.21,6470.72,134227.00,2973739.20,1/1/2015,10/19/2016,,
"CALONE, DAVID L",H,OTH,CHALLENGER,NY,1425207.08,,1425207.08,1509795.77,,190786.24,1456658.02,1/1/2015,10/19/2016,,
"CAMACHO, FELIX P GOVERNOR",H,REP,CHALLENGER,GU,77553.00,,77553.00,74664.30,,2888.70,74664.30,1/1/2016,10/19/2016,,
"CANO, FERNANDO CHRISTIAN JR",H,DEM,CHALLENGER,NC,19546.27,,19546.27,44240.58,,2171.71,42127.26,10/1/2015,10/19/2016,,
"CARGAS, JAMES P",H,DEM,CHALLENGER,TX,36234.56,,36234.56,34603.56,416.62,2047.62,34603.56,1/1/2015,10/19/2016,,
"CARROLL, MORGAN",H,DEM,CHALLENGER,CO,2602469.56,,2602469.56,2345290.07,,257179.49,2326606.64,7/6/2015,10/19/2016,,
"CARTER, DAN",S,REP,CHALLENGER,CT,344634.00,,344634.00,317794.00,,38719.00,314794.00,4/1/2016,10/19/2016,,
"CASTEEN, J WESLEY",H,DEM,CHALLENGER,NC,13465.00,,13465.00,12526.74,,937.64,12526.74,1/1/2015,10/19/2016,,
"CASTILLO, HECTOR DR.",H,REP,CHALLENGER,NJ,51500.18,,51500.18,50125.99,,1374.19,50125.99,1/1/2016,10/19/2016,,
"CATALDO, CHRISTOPHER DAVID",H,NPA,CHALLENGER,MA,7738.31,,7738.31,5792.16,,2047.65,5590.66,10/25/2015,10/19/2016,,
"CHABOT, PAUL R DR.",H,REP,CHALLENGER,CA,585350.52,,585350.52,596046.14,294.98,46099.36,516707.14,1/1/2015,10/19/2016,,
"CHERNY, DIMITRI",H,DEM,CHALLENGER,SC,26300.64,,26300.64,17587.19,284.00,51.20,14107.19,1/1/2016,10/19/2016,,
"CHRISTENSEN, GORDON DR.",H,DEM,CHALLENGER,MO,168808.53,,168808.53,192132.22,,10176.31,192132.22,10/1/2015,10/19/2016,,
"CLARK, MIKE",H,DEM,CHALLENGER,TX,18322.41,,18322.41,20501.90,,920.51,20501.90,11/25/2015,10/19/2016,,
"CLEEK, N EUGENE MD",H,REP,CHALLENGER,CA,164259.01,2500.00,166759.01,323762.22,,53046.79,320107.22,1/1/2015,10/19/2016,,
"CLEMENS, PETER C",H,DEM,CHALLENGER,UT,106911.35,,106911.35,77273.22,,16328.13,76273.22,1/1/2016,10/19/2016,,
"CLEMENTS, PAUL COLIN",H,DEM,CHALLENGER,MI,1034763.12,,1034763.12,851855.44,354.88,184162.98,836408.39,1/1/2015,10/19/2016,,
"CLEVELAND, HOSEA N",H,DEM,CHALLENGER,SC,9045.00,,9045.00,6517.00,,1407.00,6517.00,4/1/2016,10/19/2016,,
"COLE, DAVID HAGERTY",H,DEM,CHALLENGER,NJ,79529.26,,79529.26,100667.84,,10499.13,100411.84,1/1/2016,10/19/2016,,
"COLEMAN, LYNN CARNELL",H,DEM,CHALLENGER,IN,529466.27,,529466.27,462331.27,,69357.50,445335.77,10/1/2015,10/19/2016,,
"CONNOLLY, MATT",H,REP,CHALLENGER,PA,26198.00,,26198.00,18629.21,,6168.79,18629.21,1/1/2015,10/19/2016,,
"COPE, CLAY",H,REP,CHALLENGER,CT,103147.57,,103147.57,79600.72,,23546.85,73450.72,1/1/2016,10/19/2016,,
"COREY, MATTHEW M MR",H,REP,CHALLENGER,CT,13640.31,,13640.31,7450.83,,6189.48,7450.83,4/1/2016,10/19/2016,,
"CRAIG, ANGELA DAWN",H,DEM,CHALLENGER,MN,2720138.05,2700.00,2722838.05,3349147.59,,348852.43,3345423.53,4/1/2015,10/19/2016,,
"CRUMPTON, RONALD (RON) STEVEN",S,DEM,CHALLENGER,AL,32740.00,,32740.00,28980.00,,5009.00,28856.00,4/1/2015,10/19/2016,,
"CURRY, DIANNE",H,DEM,CHALLENGER,AR,32858.88,,32858.88,21523.29,,-1366.37,20957.87,9/24/2015,10/19/2016,,
"D'SILVA, REUBEN",H,NON,CHALLENGER,NV,23690.03,,23690.03,22038.17,,1007.06,22038.17,3/1/2016,10/19/2016,,
"DAGNESSES, RAFAEL",H,REP,CHALLENGER,CA,151701.00,,151701.00,279776.42,250.00,133204.55,155466.91,7/1/2015,10/19/2016,,
"DAHLKE, JEFFERY J",H,IND,CHALLENGER,WI,35170.00,,35170.00,36788.00,5014.00,3394.00,36788.00,1/1/2016,10/19/2016,,
"DALACK, BASIL EDWARD",S,REP,CHALLENGER,FL,5220.00,,5220.00,7318.00,,0.92,10.00,4/13/2016,10/19/2016,,
"DAUGHERTY, RICHARD D",H,DEM,CHALLENGER,PA,20652.11,,20652.11,18071.13,36.19,2617.17,18071.13,1/1/2015,10/19/2016,,
"DAVIS, BRUCE EDWARD SR.",H,DEM,CHALLENGER,NC,58631.00,,58631.00,62060.64,179.48,9316.39,43585.30,1/1/2015,10/19/2016,,
"DEACON, COLLEEN",H,DEM,CHALLENGER,NY,1310635.27,7984.61,1318619.88,1289995.28,,33424.60,1286649.92,10/1/2015,10/19/2016,,
"DEGNER, KAI",H,DEM,CHALLENGER,VA,142399.85,,142399.85,117073.56,,25326.29,117073.56,4/1/2016,10/19/2016,,
"DEMARE, JOSEPH ROSARIO",S,GRE,CHALLENGER,OH,9094.00,1446.00,10540.00,10112.00,,428.00,10051.00,6/1/2015,10/19/2016,,
"DEMAREE, ANGELA JO",H,DEM,CHALLENGER,IN,145409.72,,145409.72,74423.91,,71345.28,74098.11,6/10/2015,10/19/2016,,
"DERLET, ROBERT WAYNE",H,DEM,CHALLENGER,CA,92677.94,,92677.94,69625.76,,23852.18,68725.76,10/6/2015,10/19/2016,,
"DERRICK, WILLIAM MIKE",H,DEM,CHALLENGER,NY,1164225.26,,1164225.26,1103702.01,,61581.08,1099844.18,7/1/2015,10/19/2016,,
"DEW, HAROLD POWELL JR",H,REP,CHALLENGER,NC,10648.00,,10648.00,19656.14,,991.86,19656.14,4/1/2016,10/19/2016,,
"DIDIER, CLINT",H,REP,CHALLENGER,WA,61946.99,,61946.99,45212.77,4000.00,21069.72,45207.27,1/1/2015,10/19/2016,,
"DIXON, THOMAS ALAN",S,DEM,CHALLENGER,SC,36547.00,,36547.00,32828.00,,3769.00,18788.00,1/1/2016,10/19/2016,,
DR RITA RAMIREZ,H,DEM,CHALLENGER,CA,5641.08,,5641.08,31604.31,,4138.81,31479.31,1/1/2016,10/19/2016,,
"DRAKE, RON",H,DEM,CHALLENGER,IN,2750.00,,2750.00,9261.00,,1265.00,9261.00,1/1/2016,10/19/2016,,
"DRISKELL, GRETCHEN",H,DEM,CHALLENGER,MI,2146750.84,,2146750.84,1871104.44,,336595.40,1839833.42,2/9/2015,10/19/2016,,
"DUKE, GREGORY PAUL",H,REP,CHALLENGER,GA,29695.00,,29695.00,34813.29,301.78,4448.49,34813.29,1/1/2015,10/19/2016,,
"EDWARDS, ADRIENNE NICOLE",H,DEM,CHALLENGER,CA,20.00,,20.00,1.80,,518.20,1.80,4/1/2016,10/19/2016,,
"EGGMAN, MICHAEL RAY",H,DEM,CHALLENGER,CA,1272675.21,6250.00,1278925.21,1110976.11,3088.70,186913.72,1090126.52,1/1/2015,10/19/2016,,
"ELDRIDGE, CONNER",S,DEM,CHALLENGER,AR,1643207.00,,1643207.00,1814570.00,,49979.00,1803247.00,8/28/2015,10/19/2016,,
"EVANS, HUGH D MR JR",H,DEM,CHALLENGER,NV,182254.74,,182254.74,160439.37,,24563.14,159914.37,9/1/2015,10/19/2016,,
"FEDALEI, CHRISTOPHER",H,DEM,CHALLENGER,SC,91791.12,,91791.12,88781.59,,3009.53,88271.59,12/1/2015,10/19/2016,,
"FEINGOLD, RUSSELL DANA",S,DEM,CHALLENGER,WI,21250095.00,422123.00,21672218.00,18788281.00,,2889059.00,18584847.00,4/1/2015,10/19/2016,,
"FREEMAN, APRIL JUNE",H,DEM,CHALLENGER,FL,123659.91,,123659.91,111536.40,27534.00,47781.07,103987.22,1/1/2015,10/19/2016,,
"FUHRMAN, SCOTT",H,DEM,CHALLENGER,FL,134796.39,,134796.39,760371.83,,25328.89,759467.50,4/1/2016,10/19/2016,,
"FUNICIELLO, MATTHEW J",H,GRE,CHALLENGER,NY,13899.38,,13899.38,6385.92,50.00,7563.46,6385.92,4/1/2016,10/19/2016,,
"GALLEGO, PETE",H,DEM,CHALLENGER,TX,1917671.26,14051.11,1931722.37,1799264.77,28865.07,183171.13,1740780.81,1/1/2015,10/19/2016,,
"GARCIA, JOE",H,DEM,CHALLENGER,FL,1135757.16,,1135757.16,946406.91,23473.84,217197.48,945657.64,1/1/2015,10/19/2016,,
"GARRETT, JANET PATRICIA MRS.",H,DEM,CHALLENGER,OH,76823.87,,76823.87,53224.36,629.22,24291.78,52661.31,1/1/2015,10/19/2016,,
"GILES, DAVID VICTOR",H,REP,CHALLENGER,AZ,13441.21,,13441.21,249176.45,,5292.18,170978.52,4/1/2015,10/19/2016,,
"GIROUX, DANIEL BERNARD",H,DEM,CHALLENGER,KS,247763.00,,247763.00,251127.68,,-509.68,226872.68,10/1/2015,10/19/2016,,
"GITSHAM, DENISE",H,REP,CHALLENGER,CA,1201776.14,,1201776.14,1204296.10,,107976.43,1148876.32,10/22/2015,10/19/2016,,
"GLADNEY, MARK DEY",H,DEM,CHALLENGER,MS,52392.00,,52392.00,49270.27,,3121.75,49270.27,8/1/2015,10/19/2016,,
"GLASSHEIM, ELIOT",S,DEM,CHALLENGER,ND,20644.00,,20644.00,21140.00,,7860.00,21140.00,4/1/2016,10/19/2016,,
"GLENN, DARRYL",S,REP,CHALLENGER,CO,3554383.00,30000.00,3584383.00,2547292.00,,1080655.00,2503222.00,1/1/2015,10/19/2016,,
"GLIDEWELL, POWELL WATKINS PETE"" III""",H,DEM,CHALLENGER,NC,88617.54,,88617.54,82513.74,,7843.80,80773.74,9/22/2015,10/19/2016,,
"GOLDSTEIN, BEVERLY A.",H,REP,CHALLENGER,OH,17248.99,,17248.99,15791.23,,1457.76,15791.23,1/1/2016,10/19/2016,,
"GOOGE, SUE",H,REP,CHALLENGER,NC,104229.32,,104229.32,78678.44,,34190.88,78678.44,10/1/2015,10/19/2016,,
"GRAY, JIM P",S,DEM,CHALLENGER,KY,3407408.00,,3407408.00,4668876.00,,751175.00,4539473.00,1/1/2016,10/19/2016,,
"GREGORY, DUWAYNE",H,DEM,CHALLENGER,NY,353642.55,,353642.55,322890.62,,31180.88,322168.33,4/1/2015,10/19/2016,,
"GUILD, THOMAS EUGENE",H,DEM,CHALLENGER,OK,29821.08,,29821.08,76721.08,,,76456.69,1/1/2015,10/19/2016,,
"HAGEDORN, JAMES",H,REP,CHALLENGER,MN,314542.01,,314542.01,296362.09,2297.35,29419.99,273077.67,1/1/2015,10/19/2016,,
"HALVORSON, ARTHUR L",H,REP,CHALLENGER,PA,89031.14,,89031.14,227486.58,4984.71,142502.88,224986.58,1/1/2015,10/19/2016,,
"HARRINGTON, PAUL J.",H,NNE,CHALLENGER,MA,21138.00,,21138.00,27781.05,,33356.95,27781.05,7/1/2016,10/19/2016,,
"HAWKS, PAULA",H,DEM,CHALLENGER,SD,398449.14,,398449.14,315989.85,,112963.81,315989.85,7/1/2015,10/19/2016,,
"HEINZ, MATTHEW GERALD DR.",H,DEM,CHALLENGER,AZ,1415790.93,,1415790.93,1343912.30,,71878.63,1316931.56,7/1/2015,10/19/2016,,
"HERNANDEZ, ROGER",H,DEM,CHALLENGER,CA,107564.23,,107564.23,140539.02,,47103.21,114539.02,1/1/2015,10/19/2016,,
"HERNICK, CHARLES ALAN MR.",H,REP,CHALLENGER,VA,65078.24,,65078.24,61715.20,,6863.04,61715.20,1/1/2016,10/19/2016,,
"HIDALGO, JUAN M JR",H,REP,CHALLENGER,CA,69761.68,,69761.68,52121.77,,20606.35,52121.77,11/20/2015,10/19/2016,,
"HIGGINS, CAPTAIN CLAY",H,REP,CHALLENGER,LA,181621.27,,181621.27,170639.93,,11249.48,170371.79,5/9/2016,10/19/2016,,
"HOEBER, AMIE",H,REP,CHALLENGER,MD,571689.32,457.95,572147.27,947989.36,,74527.91,945139.36,7/1/2015,10/19/2016,,
"HOEFT, MARY",H,DEM,CHALLENGER,WI,105417.05,,105417.05,79288.79,,26128.26,79288.79,4/1/2016,10/19/2016,,
"HOLBROOK, MARK IRVING DR",H,REP,CHALLENGER,ME,90644.40,,90644.40,57916.73,,37018.67,57000.73,4/24/2015,10/19/2016,,
"HOLDEN, MELVIN KIP",H,DEM,CHALLENGER,LA,21750.00,,21750.00,180.11,,22069.89,180.11,4/1/2016,10/19/2016,,
"HOWLAND, AMANDA",H,DEM,CHALLENGER,IL,90060.85,,90060.85,44967.24,435.00,50528.61,44917.24,1/1/2016,10/19/2016,,
"HUERTA, EMILIO JESUS MR.",H,DEM,CHALLENGER,CA,621135.87,1250.00,622385.87,482422.91,,144745.14,480757.73,1/1/2016,10/19/2016,,
"HUGHES, DAVID RUSSELL MR.",H,REP,CHALLENGER,MN,17085.65,,17085.65,13735.62,,3350.03,13735.62,3/1/2016,10/19/2016,,
"HUNT, MARK ALLEN",H,DEM,CHALLENGER,WV,173875.62,,173875.62,373768.48,,70535.39,369090.23,1/1/2016,10/19/2016,,
"HYMAN, MAL",H,DEM,CHALLENGER,SC,29559.55,,29559.55,62990.27,,7650.86,57789.97,1/1/2016,10/19/2016,,
"IRON EYES, CHASE MR.",H,DEM,CHALLENGER,ND,165177.73,,165177.73,121254.95,,43922.78,118824.95,3/31/2016,10/19/2016,,
"JACOB, PETER MR.",H,DEM,CHALLENGER,NJ,139891.81,,139891.81,63716.72,,75547.36,63716.72,11/1/2015,10/19/2016,,
"JAMIAS, MAPU S.",H,DEM,CHALLENGER,AS,11803.00,,11803.00,8243.00,,3560.00,8243.00,7/1/2016,10/19/2016,,
"JOHNSON, LONNIE BARTON",H,DEM,CHALLENGER,MI,1848782.81,,1848782.81,1795109.68,,58014.24,1774955.67,6/28/2015,10/19/2016,,
"JOLLY, DAVID W",S,REP,CHALLENGER,FL,1851509.95,30950.00,1882459.95,1970657.96,246339.09,158630.58,1915655.96,1/1/2015,10/19/2016,,
"JONES, SCOTT",H,REP,CHALLENGER,CA,1171362.46,11561.83,1182924.29,1094606.82,,88325.97,1089267.32,1/1/2015,10/19/2016,,
"JUDGE, PATTY JEAN",S,DEM,CHALLENGER,IA,1983959.00,91625.00,2075584.00,1758002.00,,317801.00,1748126.00,1/1/2016,10/19/2016,,
"JUNEAU, DENISE",H,DEM,CHALLENGER,MT,2354440.91,3000.00,2357440.91,1869316.07,,491337.79,1831515.23,11/4/2015,10/19/2016,,
"KAIRNES, GERALD JAMES",H,IND,CHALLENGER,PA,1420.00,,1420.00,1084.81,,335.19,1084.81,11/15/2015,10/19/2016,,
"KANDER, JASON",S,DEM,CHALLENGER,MO,9803046.00,940306.00,10743352.00,8633214.00,,2112030.00,8528522.00,2/19/2015,10/19/2016,,
"KAUFMAN, JOE",H,REP,CHALLENGER,FL,116492.56,,116492.56,115366.99,378472.91,386494.41,104716.99,1/1/2015,10/19/2016,,
"KEMPER, NANCY JO",H,DEM,CHALLENGER,KY,418412.41,,418412.41,359304.48,,59107.93,359304.48,1/8/2016,10/19/2016,,
"KENT, DAVID W.",H,DEM,CHALLENGER,TN,4744.01,,4744.01,3736.61,,1007.40,3736.61,2/9/2016,10/19/2016,,
"KHOURI, TONIA",H,REP,CHALLENGER,IL,511497.25,457.95,511955.20,585612.04,,141799.72,574765.81,4/1/2015,10/19/2016,,
"KHOURY, ANTON",S,OTH,CHALLENGER,FL,73821.00,,73821.00,171969.00,,42098.00,171719.00,1/1/2016,10/19/2016,,
"KIMOTHO-GONZALEZ, JACQUELINE MRS.",H,REP,CHALLENGER,VA,20963.00,,20963.00,20046.60,,947.77,20015.23,3/21/2016,10/19/2016,,
"KIRKPATRICK, ANN LEILA",S,DEM,CHALLENGER,AZ,7982691.00,482658.00,8465349.00,8057807.00,,425330.00,7673746.00,5/26/2015,10/19/2016,,
"KITTS, DEREK WAYNE",H,DEM,CHALLENGER,VA,92435.52,,92435.52,80976.57,,11458.66,79268.99,1/1/2016,10/19/2016,,
"KOLBER, VINCE",H,REP,CHALLENGER,IL,16464.99,,16464.99,21746.79,1508.95,7285.05,21688.89,1/1/2015,10/19/2016,,
"KUMAR, ANIL",H,DEM,CHALLENGER,MI,372266.28,,372266.28,913230.36,4157.51,218133.43,856729.59,1/1/2015,10/19/2016,,
"LANGE, JAMES KELLY",H,DEM,CHALLENGER,FL,25417.23,,25417.23,34590.75,,4887.13,34590.75,1/1/2016,10/19/2016,,
"LAPOLICE, ALAN",H,IND,CHALLENGER,KS,98671.00,,98671.00,91018.47,3675.95,41715.86,90631.09,1/1/2015,10/19/2016,,
"LARSON, DONALD PHILIP",H,REP,CHALLENGER,OH,22659.39,,22659.39,25123.84,,2733.84,24123.84,10/1/2015,10/19/2016,,
