can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"LANCASTER, GORDON K CA",H,REP,CHALLENGER,CA,"$5,100.00 ",,"$5,500.00 ",,,"$5,500.00 ",4/1/2016,11/9/2016,,
"ENDRISS, DONALD",H,NPA,CHALLENGER,FL,,,"$23,459.36 ",,"$1,540.64 ","$8,459.36 ",4/1/2016,11/8/2016,,
"KLEPINGER, ROBERT P",H,DEM,CHALLENGER,OH,,,"$8,434.05 ",,,,11/5/2014,11/8/2016,,
"SAVITT, MARC",H,REP,CHALLENGER,WV,"$39,106.50 ",,"$39,106.46 ",,,"$39,106.46 ",10/1/2015,11/8/2016,,
"WIESNER, PATRICK",S,DEM,CHALLENGER,KS,"$15,026.00 ",,"$29,603.00 ","$2,653.00 ","$8,070.00 ","$29,603.00 ",1/1/2015,10/28/2016,,
"MILSTEIN, LYLE",H,NPA,CHALLENGER,FL,,,"$10,398.00 ",,,,6/25/2016,10/27/2016,,
"TOMASZEWSKI, SCOT JOHN",H,IND,CHALLENGER,NJ,,,"$4,992.00 ",,,,1/1/2015,10/27/2016,,
"STINE, KEVIN ",S,DEM,CHALLENGER,OR,"$5,735.00 ",,"$8,733.00 ",,,"$6,436.00 ",9/1/2015,10/25/2016,,
"BUCHHOLZ, MYRON EARL MR.",H,DEM,CHALLENGER,WI,"$31,291.31 ",,"$31,376.31 ",,,"$31,376.31 ",1/1/2016,10/24/2016,,
"CARROLL, JOHN STANLEY",S,REP,CHALLENGER,HI,"$31,943.00 ",,"$40,579.00 ",,"$2,364.00 ","$40,579.00 ",6/10/2016,10/24/2016,,
"COVERDALE, MICHAEL DUANE",H,IND,CHALLENGER,WA,"$3,054.00 ",,"$9,171.00 ",,,"$8,171.00 ",4/1/2016,10/22/2016,,
"LEE, PATRICK",S,IND,CHALLENGER,MO,"$5,611.00 ",,"$5,361.00 ",,$250.00 ,"$5,361.00 ",1/14/2016,10/21/2016,,
"CRAIG, BRECK ANDREW MR",S,UNK,CHALLENGER,AK,"$5,471.00 ",,"$21,371.00 ",,$90.00 ,"$21,371.00 ",4/1/2016,10/20/2016,,
"JONES, JEFF",H,REP,CHALLENGER,MI,"$18,375.00 ",,"$8,701.00 ",,"$2,173.00 ","$8,701.00 ",4/1/2016,10/20/2016,,
"ALARCON, RICHARD ANTHONY MR.",H,DEM,CHALLENGER,CA,"$69,834.33 ",,"$70,693.93 ",,$140.40 ,"$69,538.70 ",1/1/2016,10/19/2016,,
"ALBARRAN, CHARLENE MCARTHUR",H,DEM,CHALLENGER,UT,"$562,223.00 ",,"$555,400.34 ",,"$8,328.02 ","$548,462.32 ",9/1/2015,10/19/2016,,
"ALBERTSON, ED",H,DEM,CHALLENGER,OH,"$27,043.95 ",,"$18,413.17 ",,"$9,630.78 ","$18,413.17 ",12/8/2015,10/19/2016,,
"ALLIEGRO, MARK C",H,REP,CHALLENGER,MA,"$218,720.80 ",,"$205,609.17 ",($547.49),"$54,564.14 ","$205,584.17 ",1/1/2015,10/19/2016,,
"AMADOR, ANTONIO C",H,REP,CHALLENGER,CA,"$48,462.25 ",,"$34,903.58 ","$1,671.84 ","$15,230.51 ","$30,903.58 ",1/1/2015,10/19/2016,,
"APPLEGATE, DOUGLAS LOREN",H,DEM,CHALLENGER,CA,"$1,260,961.06 ",,"$975,048.75 ",,"$286,942.42 ","$959,079.59 ",7/1/2015,10/19/2016,,
"ARMENDARIZ, VICTOR",H,REP,CHALLENGER,GA,"$6,920.00 ",,"$5,448.00 ",,"$1,469.00 ","$5,448.00 ",1/1/2016,10/19/2016,,
"ARNESS, MARK KENNETH",H,REP,CHALLENGER,MD,"$22,319.79 ",,"$42,132.30 ",,"$7,087.49 ","$41,632.30 ",1/1/2015,10/19/2016,,
"ASSINI, MARK W",H,REP,CHALLENGER,NY,"$209,409.41 ",,"$193,415.43 ",$830.11 ,"$16,824.09 ","$193,415.43 ",1/1/2015,10/19/2016,,
"ATHANASOPOULOS, GEORGE MR.",H,REP,CHALLENGER,CO,"$50,356.00 ",,"$45,259.51 ",,"$5,096.49 ","$44,259.51 ",1/1/2016,10/19/2016,,
"BALCHUNIS, MARY ELLEN",H,DEM,CHALLENGER,PA,"$182,209.92 ",,"$132,313.64 ",$202.19 ,"$50,098.47 ","$128,619.36 ",1/1/2015,10/19/2016,,
"BARICEVIC, CHARLES JOHN",H,DEM,CHALLENGER,IL,"$950,960.89 ",,"$852,636.19 ",,"$98,324.70 ","$837,588.33 ",4/1/2015,10/19/2016,,
"BARKSDALE, JAMES FREEMAN",S,DEM,CHALLENGER,GA,"$511,797.00 ",,"$4,772,457.00 ","$1,085,080.00 ","$601,077.00 ","$4,770,944.00 ",4/1/2016,10/19/2016,,
"BARRERA, RAUL (ROY)",H,DEM,CHALLENGER,TX,"$19,411.53 ",,"$20,852.64 ",,"$1,706.35 ","$18,498.17 ",1/1/2016,10/19/2016,,
"BARRON, WILLIAM CURRIE",S,UN,CHALLENGER,UT,"$12,756.00 ",,"$13,139.00 ","$3,722.00 ","$3,342.00 ","$12,870.00 ",1/1/2015,10/19/2016,,
"BARTLEY, LORI ANITA MRS.",H,REP,CHALLENGER,TX,"$29,593.87 ",,"$34,366.17 ",,($495.95),"$34,241.17 ",4/1/2015,10/19/2016,,
"BASLER, DOUGLAS MICHAEL",H,REP,CHALLENGER,WA,"$29,951.55 ",,"$27,867.72 ",($487.69),"$1,621.14 ","$27,362.72 ",1/1/2015,10/19/2016,,
"BEDELL, EILEEN MCNEIL",H,DEM,CHALLENGER,VA,"$174,143.22 ",,"$184,975.52 ",,"($1,948.74)","$176,091.64 ",1/1/2016,10/19/2016,,
"BELL, DOUGLAS ANTHONY",H,REP,CHALLENGER,GA,"$9,913.57 ",,"$9,653.85 ",,$146.72 ,"$4,424.91 ",1/6/2015,10/19/2016,,
"BENNETT, LUANN",H,DEM,CHALLENGER,VA,"$2,121,534.46 ",,"$2,128,900.61 ",,"$82,633.85 ","$1,976,059.94 ",10/1/2015,10/19/2016,,
"BENTIVOLIO, KERRY",H,REP,CHALLENGER,MI,"$27,165.00 ",,"$25,091.37 ","$3,052.51 ","($8,161.55)","$4,618.83 ",1/1/2015,10/19/2016,,
"BJORN, ARIK",H,DEM,CHALLENGER,SC,"$62,237.64 ",,"$53,424.21 ",,"$8,913.43 ","$53,329.21 ",2/15/2016,10/19/2016,,
"BLOOM, TODD ANTHONY",H,REP,CHALLENGER,WA,"$8,435.00 ",,"$6,702.00 ",,"$2,893.00 ","$10,852.00 ",5/19/2016,10/19/2016,,
"BONOFF, TERRI",H,DFL,CHALLENGER,MN,"$1,660,038.22 ",,"$1,445,902.64 ",,"$215,001.59 ","$1,441,701.63 ",4/1/2016,10/19/2016,,
"BOUIE II, JOHN MR",H,REP,CHALLENGER,MS,,,,,,,1/1/2016,10/19/2016,,
"BOYD, WILLIE WILL"" DR. JR.""",H,DEM,CHALLENGER,AL,"$52,983.73 ",,"$54,923.85 ",,$983.08 ,"$54,923.85 ",7/1/2015,10/19/2016,,
"BRADDY, SEAN D",S,IND,CHALLENGER,OK,"$12,259.00 ",,"$12,751.00 ",,($492.00),"$12,705.00 ",4/15/2016,10/19/2016,,
"BRADSHAW, PAULA",H,GRE,CHALLENGER,IL,"$2,508.53 ",,"$1,875.53 ",$835.40 ,"$1,525.40 ","$1,875.53 ",1/1/2015,10/19/2016,,
"BRYAN, PAT",H,DEM,CHALLENGER,TX,$120.00 ,,"$13,548.18 ",$685.12 ,"$1,893.48 ","$7,349.78 ",10/1/2015,10/19/2016,,
"BRYSON, FREDERICK EDGAR (RICK)",H,DEM,CHALLENGER,NC,"$29,580.00 ",,"$30,278.11 ",,"$12,811.89 ","$28,218.11 ",8/5/2015,10/19/2016,,
"BURKE, WILLIAM F",H,REP,CHALLENGER,MA,"$45,450.00 ",,"$41,401.27 ","$1,859.84 ","($4,069.85)","$41,401.27 ",7/1/2016,10/19/2016,,
"CAFORIO, BRYAN",H,DEM,CHALLENGER,CA,"$1,319,070.10 ","$15,190.49 ","$1,273,383.33 ",,"$80,237.50 ","$1,245,092.13 ",10/1/2015,10/19/2016,,
"CAIN, EMILY",H,DEM,CHALLENGER,ME,"$3,106,870.48 ",,"$3,002,007.21 ","$6,470.72 ","$134,227.00 ","$2,973,739.20 ",1/1/2015,10/19/2016,,
"CALONE, DAVID L",H,OTH,CHALLENGER,NY,"$1,425,207.08 ",,"$1,509,795.77 ",,"$190,786.24 ","$1,456,658.02 ",1/1/2015,10/19/2016,,
"CAMACHO, FELIX P GOVERNOR",H,REP,CHALLENGER,GU,"$77,553.00 ",,"$74,664.30 ",,"$2,888.70 ","$74,664.30 ",1/1/2016,10/19/2016,,
"CANO, FERNANDO CHRISTIAN JR",H,DEM,CHALLENGER,NC,"$19,546.27 ",,"$44,240.58 ",,"$2,171.71 ","$42,127.26 ",10/1/2015,10/19/2016,,
"CARGAS, JAMES P",H,DEM,CHALLENGER,TX,"$36,234.56 ",,"$34,603.56 ",$416.62 ,"$2,047.62 ","$34,603.56 ",1/1/2015,10/19/2016,,
"CARROLL, MORGAN",H,DEM,CHALLENGER,CO,"$2,602,469.56 ",,"$2,345,290.07 ",,"$257,179.49 ","$2,326,606.64 ",7/6/2015,10/19/2016,,
"CARTER, DAN",S,REP,CHALLENGER,CT,"$344,634.00 ",,"$317,794.00 ",,"$38,719.00 ","$314,794.00 ",4/1/2016,10/19/2016,,
"CASTEEN, J WESLEY",H,DEM,CHALLENGER,NC,"$13,465.00 ",,"$12,526.74 ",,$937.64 ,"$12,526.74 ",1/1/2015,10/19/2016,,
"CASTILLO, HECTOR DR.",H,REP,CHALLENGER,NJ,"$51,500.18 ",,"$50,125.99 ",,"$1,374.19 ","$50,125.99 ",1/1/2016,10/19/2016,,
"CATALDO, CHRISTOPHER DAVID",H,NPA,CHALLENGER,MA,"$7,738.31 ",,"$5,792.16 ",,"$2,047.65 ","$5,590.66 ",10/25/2015,10/19/2016,,
"CHABOT, PAUL R DR.",H,REP,CHALLENGER,CA,"$585,350.52 ",,"$596,046.14 ",$294.98 ,"$46,099.36 ","$516,707.14 ",1/1/2015,10/19/2016,,
"CHERNY, DIMITRI",H,DEM,CHALLENGER,SC,"$26,300.64 ",,"$17,587.19 ",$284.00 ,$51.20 ,"$14,107.19 ",1/1/2016,10/19/2016,,
"CHRISTENSEN, GORDON DR.",H,DEM,CHALLENGER,MO,"$168,808.53 ",,"$192,132.22 ",,"$10,176.31 ","$192,132.22 ",10/1/2015,10/19/2016,,
"CLARK, MIKE",H,DEM,CHALLENGER,TX,"$18,322.41 ",,"$20,501.90 ",,$920.51 ,"$20,501.90 ",11/25/2015,10/19/2016,,
"CLEEK, N EUGENE MD",H,REP,CHALLENGER,CA,"$164,259.01 ","$2,500.00 ","$323,762.22 ",,"$53,046.79 ","$320,107.22 ",1/1/2015,10/19/2016,,
"CLEMENS, PETER C",H,DEM,CHALLENGER,UT,"$106,911.35 ",,"$77,273.22 ",,"$16,328.13 ","$76,273.22 ",1/1/2016,10/19/2016,,
"CLEMENTS, PAUL COLIN",H,DEM,CHALLENGER,MI,"$1,034,763.12 ",,"$851,855.44 ",$354.88 ,"$184,162.98 ","$836,408.39 ",1/1/2015,10/19/2016,,
"CLEVELAND, HOSEA N",H,DEM,CHALLENGER,SC,"$9,045.00 ",,"$6,517.00 ",,"$1,407.00 ","$6,517.00 ",4/1/2016,10/19/2016,,
"COLE, DAVID HAGERTY",H,DEM,CHALLENGER,NJ,"$79,529.26 ",,"$100,667.84 ",,"$10,499.13 ","$100,411.84 ",1/1/2016,10/19/2016,,
"COLEMAN, LYNN CARNELL",H,DEM,CHALLENGER,IN,"$529,466.27 ",,"$462,331.27 ",,"$69,357.50 ","$445,335.77 ",10/1/2015,10/19/2016,,
"CONNOLLY, MATT",H,REP,CHALLENGER,PA,"$26,198.00 ",,"$18,629.21 ",,"$6,168.79 ","$18,629.21 ",1/1/2015,10/19/2016,,
"COPE, CLAY",H,REP,CHALLENGER,CT,"$103,147.57 ",,"$79,600.72 ",,"$23,546.85 ","$73,450.72 ",1/1/2016,10/19/2016,,
"COREY, MATTHEW M MR",H,REP,CHALLENGER,CT,"$13,640.31 ",,"$7,450.83 ",,"$6,189.48 ","$7,450.83 ",4/1/2016,10/19/2016,,
"CRAIG, ANGELA DAWN",H,DEM,CHALLENGER,MN,"$2,720,138.05 ","$2,700.00 ","$3,349,147.59 ",,"$348,852.43 ","$3,345,423.53 ",4/1/2015,10/19/2016,,
"CRUMPTON, RONALD (RON) STEVEN",S,DEM,CHALLENGER,AL,"$32,740.00 ",,"$28,980.00 ",,"$5,009.00 ","$28,856.00 ",4/1/2015,10/19/2016,,
"CURRY, DIANNE",H,DEM,CHALLENGER,AR,"$32,858.88 ",,"$21,523.29 ",,"($1,366.37)","$20,957.87 ",9/24/2015,10/19/2016,,
"D'SILVA, REUBEN",H,NON,CHALLENGER,NV,"$23,690.03 ",,"$22,038.17 ",,"$1,007.06 ","$22,038.17 ",3/1/2016,10/19/2016,,
"DAGNESSES, RAFAEL",H,REP,CHALLENGER,CA,"$151,701.00 ",,"$279,776.42 ",$250.00 ,"$133,204.55 ","$155,466.91 ",7/1/2015,10/19/2016,,
"DAHLKE, JEFFERY J",H,IND,CHALLENGER,WI,"$35,170.00 ",,"$36,788.00 ","$5,014.00 ","$3,394.00 ","$36,788.00 ",1/1/2016,10/19/2016,,
"DALACK, BASIL EDWARD",S,REP,CHALLENGER,FL,"$5,220.00 ",,"$7,318.00 ",,$0.92 ,$10.00 ,4/13/2016,10/19/2016,,
"DAUGHERTY, RICHARD D",H,DEM,CHALLENGER,PA,"$20,652.11 ",,"$18,071.13 ",$36.19 ,"$2,617.17 ","$18,071.13 ",1/1/2015,10/19/2016,,
"DAVIS, BRUCE EDWARD SR.",H,DEM,CHALLENGER,NC,"$58,631.00 ",,"$62,060.64 ",$179.48 ,"$9,316.39 ","$43,585.30 ",1/1/2015,10/19/2016,,
"DEACON, COLLEEN",H,DEM,CHALLENGER,NY,"$1,310,635.27 ","$7,984.61 ","$1,289,995.28 ",,"$33,424.60 ","$1,286,649.92 ",10/1/2015,10/19/2016,,
"DEGNER, KAI",H,DEM,CHALLENGER,VA,"$142,399.85 ",,"$117,073.56 ",,"$25,326.29 ","$117,073.56 ",4/1/2016,10/19/2016,,
"DEMARE, JOSEPH ROSARIO",S,GRE,CHALLENGER,OH,"$9,094.00 ","$1,446.00 ","$10,112.00 ",,$428.00 ,"$10,051.00 ",6/1/2015,10/19/2016,,
"DEMAREE, ANGELA JO",H,DEM,CHALLENGER,IN,"$145,409.72 ",,"$74,423.91 ",,"$71,345.28 ","$74,098.11 ",6/10/2015,10/19/2016,,
"DERLET, ROBERT WAYNE",H,DEM,CHALLENGER,CA,"$92,677.94 ",,"$69,625.76 ",,"$23,852.18 ","$68,725.76 ",10/6/2015,10/19/2016,,
"DERRICK, WILLIAM MIKE",H,DEM,CHALLENGER,NY,"$1,164,225.26 ",,"$1,103,702.01 ",,"$61,581.08 ","$1,099,844.18 ",7/1/2015,10/19/2016,,
"DEW, HAROLD POWELL JR",H,REP,CHALLENGER,NC,"$10,648.00 ",,"$19,656.14 ",,$991.86 ,"$19,656.14 ",4/1/2016,10/19/2016,,
"DIDIER, CLINT",H,REP,CHALLENGER,WA,"$61,946.99 ",,"$45,212.77 ","$4,000.00 ","$21,069.72 ","$45,207.27 ",1/1/2015,10/19/2016,,
"DIXON, THOMAS ALAN",S,DEM,CHALLENGER,SC,"$36,547.00 ",,"$32,828.00 ",,"$3,769.00 ","$18,788.00 ",1/1/2016,10/19/2016,,
DR RITA RAMIREZ,H,DEM,CHALLENGER,CA,"$5,641.08 ",,"$31,604.31 ",,"$4,138.81 ","$31,479.31 ",1/1/2016,10/19/2016,,
"DRAKE, RON",H,DEM,CHALLENGER,IN,"$2,750.00 ",,"$9,261.00 ",,"$1,265.00 ","$9,261.00 ",1/1/2016,10/19/2016,,
"DRISKELL, GRETCHEN",H,DEM,CHALLENGER,MI,"$2,146,750.84 ",,"$1,871,104.44 ",,"$336,595.40 ","$1,839,833.42 ",2/9/2015,10/19/2016,,
"DUKE, GREGORY PAUL",H,REP,CHALLENGER,GA,"$29,695.00 ",,"$34,813.29 ",$301.78 ,"$4,448.49 ","$34,813.29 ",1/1/2015,10/19/2016,,
"EDWARDS, ADRIENNE NICOLE",H,DEM,CHALLENGER,CA,$20.00 ,,$1.80 ,,$518.20 ,$1.80 ,4/1/2016,10/19/2016,,
"EGGMAN, MICHAEL RAY",H,DEM,CHALLENGER,CA,"$1,272,675.21 ","$6,250.00 ","$1,110,976.11 ","$3,088.70 ","$186,913.72 ","$1,090,126.52 ",1/1/2015,10/19/2016,,
"ELDRIDGE, CONNER",S,DEM,CHALLENGER,AR,"$1,643,207.00 ",,"$1,814,570.00 ",,"$49,979.00 ","$1,803,247.00 ",8/28/2015,10/19/2016,,
"EVANS, HUGH D MR JR",H,DEM,CHALLENGER,NV,"$182,254.74 ",,"$160,439.37 ",,"$24,563.14 ","$159,914.37 ",9/1/2015,10/19/2016,,
"FEDALEI, CHRISTOPHER",H,DEM,CHALLENGER,SC,"$91,791.12 ",,"$88,781.59 ",,"$3,009.53 ","$88,271.59 ",12/1/2015,10/19/2016,,
"FEINGOLD, RUSSELL DANA",S,DEM,CHALLENGER,WI,"$21,250,095.00 ","$422,123.00 ","$18,788,281.00 ",,"$2,889,059.00 ","$18,584,847.00 ",4/1/2015,10/19/2016,,
"FREEMAN, APRIL JUNE",H,DEM,CHALLENGER,FL,"$123,659.91 ",,"$111,536.40 ","$27,534.00 ","$47,781.07 ","$103,987.22 ",1/1/2015,10/19/2016,,
"FUHRMAN, SCOTT",H,DEM,CHALLENGER,FL,"$134,796.39 ",,"$760,371.83 ",,"$25,328.89 ","$759,467.50 ",4/1/2016,10/19/2016,,
"FUNICIELLO, MATTHEW J",H,GRE,CHALLENGER,NY,"$13,899.38 ",,"$6,385.92 ",$50.00 ,"$7,563.46 ","$6,385.92 ",4/1/2016,10/19/2016,,
"GALLEGO, PETE",H,DEM,CHALLENGER,TX,"$1,917,671.26 ","$14,051.11 ","$1,799,264.77 ","$28,865.07 ","$183,171.13 ","$1,740,780.81 ",1/1/2015,10/19/2016,,
"GARCIA, JOE",H,DEM,CHALLENGER,FL,"$1,135,757.16 ",,"$946,406.91 ","$23,473.84 ","$217,197.48 ","$945,657.64 ",1/1/2015,10/19/2016,,
"GARRETT, JANET PATRICIA MRS.",H,DEM,CHALLENGER,OH,"$76,823.87 ",,"$53,224.36 ",$629.22 ,"$24,291.78 ","$52,661.31 ",1/1/2015,10/19/2016,,
"GILES, DAVID VICTOR",H,REP,CHALLENGER,AZ,"$13,441.21 ",,"$249,176.45 ",,"$5,292.18 ","$170,978.52 ",4/1/2015,10/19/2016,,
"GIROUX, DANIEL BERNARD",H,DEM,CHALLENGER,KS,"$247,763.00 ",,"$251,127.68 ",,($509.68),"$226,872.68 ",10/1/2015,10/19/2016,,
"GITSHAM, DENISE",H,REP,CHALLENGER,CA,"$1,201,776.14 ",,"$1,204,296.10 ",,"$107,976.43 ","$1,148,876.32 ",10/22/2015,10/19/2016,,
"GLADNEY, MARK DEY",H,DEM,CHALLENGER,MS,"$52,392.00 ",,"$49,270.27 ",,"$3,121.75 ","$49,270.27 ",8/1/2015,10/19/2016,,
"GLASSHEIM, ELIOT",S,DEM,CHALLENGER,ND,"$20,644.00 ",,"$21,140.00 ",,"$7,860.00 ","$21,140.00 ",4/1/2016,10/19/2016,,
"GLENN, DARRYL",S,REP,CHALLENGER,CO,"$3,554,383.00 ","$30,000.00 ","$2,547,292.00 ",,"$1,080,655.00 ","$2,503,222.00 ",1/1/2015,10/19/2016,,
"GLIDEWELL, POWELL WATKINS PETE"" III""",H,DEM,CHALLENGER,NC,"$88,617.54 ",,"$82,513.74 ",,"$7,843.80 ","$80,773.74 ",9/22/2015,10/19/2016,,
"GOLDSTEIN, BEVERLY A.",H,REP,CHALLENGER,OH,"$17,248.99 ",,"$15,791.23 ",,"$1,457.76 ","$15,791.23 ",1/1/2016,10/19/2016,,
"GOOGE, SUE",H,REP,CHALLENGER,NC,"$104,229.32 ",,"$78,678.44 ",,"$34,190.88 ","$78,678.44 ",10/1/2015,10/19/2016,,
"GRAY, JIM P",S,DEM,CHALLENGER,KY,"$3,407,408.00 ",,"$4,668,876.00 ",,"$751,175.00 ","$4,539,473.00 ",1/1/2016,10/19/2016,,
"GREGORY, DUWAYNE",H,DEM,CHALLENGER,NY,"$353,642.55 ",,"$322,890.62 ",,"$31,180.88 ","$322,168.33 ",4/1/2015,10/19/2016,,
"GUILD, THOMAS EUGENE",H,DEM,CHALLENGER,OK,"$29,821.08 ",,"$76,721.08 ",,,"$76,456.69 ",1/1/2015,10/19/2016,,
"HAGEDORN, JAMES",H,REP,CHALLENGER,MN,"$314,542.01 ",,"$296,362.09 ","$2,297.35 ","$29,419.99 ","$273,077.67 ",1/1/2015,10/19/2016,,
"HALVORSON, ARTHUR L",H,REP,CHALLENGER,PA,"$89,031.14 ",,"$227,486.58 ","$4,984.71 ","$142,502.88 ","$224,986.58 ",1/1/2015,10/19/2016,,
"HARRINGTON, PAUL J.",H,NNE,CHALLENGER,MA,"$21,138.00 ",,"$27,781.05 ",,"$33,356.95 ","$27,781.05 ",7/1/2016,10/19/2016,,
"HAWKS, PAULA",H,DEM,CHALLENGER,SD,"$398,449.14 ",,"$315,989.85 ",,"$112,963.81 ","$315,989.85 ",7/1/2015,10/19/2016,,
"HEINZ, MATTHEW GERALD DR.",H,DEM,CHALLENGER,AZ,"$1,415,790.93 ",,"$1,343,912.30 ",,"$71,878.63 ","$1,316,931.56 ",7/1/2015,10/19/2016,,
"HERNANDEZ, ROGER",H,DEM,CHALLENGER,CA,"$107,564.23 ",,"$140,539.02 ",,"$47,103.21 ","$114,539.02 ",1/1/2015,10/19/2016,,
"HERNICK, CHARLES ALAN MR.",H,REP,CHALLENGER,VA,"$65,078.24 ",,"$61,715.20 ",,"$6,863.04 ","$61,715.20 ",1/1/2016,10/19/2016,,
"HIDALGO, JUAN M JR",H,REP,CHALLENGER,CA,"$69,761.68 ",,"$52,121.77 ",,"$20,606.35 ","$52,121.77 ",11/20/2015,10/19/2016,,
"HIGGINS, CAPTAIN CLAY",H,REP,CHALLENGER,LA,"$181,621.27 ",,"$170,639.93 ",,"$11,249.48 ","$170,371.79 ",5/9/2016,10/19/2016,,
"HOEBER, AMIE",H,REP,CHALLENGER,MD,"$571,689.32 ",$457.95 ,"$947,989.36 ",,"$74,527.91 ","$945,139.36 ",7/1/2015,10/19/2016,,
"HOEFT, MARY",H,DEM,CHALLENGER,WI,"$105,417.05 ",,"$79,288.79 ",,"$26,128.26 ","$79,288.79 ",4/1/2016,10/19/2016,,
"HOLBROOK, MARK IRVING DR",H,REP,CHALLENGER,ME,"$90,644.40 ",,"$57,916.73 ",,"$37,018.67 ","$57,000.73 ",4/24/2015,10/19/2016,,
"HOLDEN, MELVIN KIP",H,DEM,CHALLENGER,LA,"$21,750.00 ",,$180.11 ,,"$22,069.89 ",$180.11 ,4/1/2016,10/19/2016,,
"HOWLAND, AMANDA",H,DEM,CHALLENGER,IL,"$90,060.85 ",,"$44,967.24 ",$435.00 ,"$50,528.61 ","$44,917.24 ",1/1/2016,10/19/2016,,
"HUERTA, EMILIO JESUS MR.",H,DEM,CHALLENGER,CA,"$621,135.87 ","$1,250.00 ","$482,422.91 ",,"$144,745.14 ","$480,757.73 ",1/1/2016,10/19/2016,,
"HUGHES, DAVID RUSSELL MR.",H,REP,CHALLENGER,MN,"$17,085.65 ",,"$13,735.62 ",,"$3,350.03 ","$13,735.62 ",3/1/2016,10/19/2016,,
"HUNT, MARK ALLEN",H,DEM,CHALLENGER,WV,"$173,875.62 ",,"$373,768.48 ",,"$70,535.39 ","$369,090.23 ",1/1/2016,10/19/2016,,
"HYMAN, MAL",H,DEM,CHALLENGER,SC,"$29,559.55 ",,"$62,990.27 ",,"$7,650.86 ","$57,789.97 ",1/1/2016,10/19/2016,,
"IRON EYES, CHASE MR.",H,DEM,CHALLENGER,ND,"$165,177.73 ",,"$121,254.95 ",,"$43,922.78 ","$118,824.95 ",3/31/2016,10/19/2016,,
"JACOB, PETER MR.",H,DEM,CHALLENGER,NJ,"$139,891.81 ",,"$63,716.72 ",,"$75,547.36 ","$63,716.72 ",11/1/2015,10/19/2016,,
"JAMIAS, MAPU S.",H,DEM,CHALLENGER,AS,"$11,803.00 ",,"$8,243.00 ",,"$3,560.00 ","$8,243.00 ",7/1/2016,10/19/2016,,
"JOHNSON, LONNIE BARTON",H,DEM,CHALLENGER,MI,"$1,848,782.81 ",,"$1,795,109.68 ",,"$58,014.24 ","$1,774,955.67 ",6/28/2015,10/19/2016,,
"JOLLY, DAVID W",S,REP,CHALLENGER,FL,"$1,851,509.95 ","$30,950.00 ","$1,970,657.96 ","$246,339.09 ","$158,630.58 ","$1,915,655.96 ",1/1/2015,10/19/2016,,
"JONES, SCOTT",H,REP,CHALLENGER,CA,"$1,171,362.46 ","$11,561.83 ","$1,094,606.82 ",,"$88,325.97 ","$1,089,267.32 ",1/1/2015,10/19/2016,,
"JUDGE, PATTY JEAN",S,DEM,CHALLENGER,IA,"$1,983,959.00 ","$91,625.00 ","$1,758,002.00 ",,"$317,801.00 ","$1,748,126.00 ",1/1/2016,10/19/2016,,
"JUNEAU, DENISE",H,DEM,CHALLENGER,MT,"$2,354,440.91 ","$3,000.00 ","$1,869,316.07 ",,"$491,337.79 ","$1,831,515.23 ",11/4/2015,10/19/2016,,
"KAIRNES, GERALD JAMES",H,IND,CHALLENGER,PA,"$1,420.00 ",,"$1,084.81 ",,$335.19 ,"$1,084.81 ",11/15/2015,10/19/2016,,
"KANDER, JASON",S,DEM,CHALLENGER,MO,"$9,803,046.00 ","$940,306.00 ","$8,633,214.00 ",,"$2,112,030.00 ","$8,528,522.00 ",2/19/2015,10/19/2016,,
"KAUFMAN, JOE",H,REP,CHALLENGER,FL,"$116,492.56 ",,"$115,366.99 ","$378,472.91 ","$386,494.41 ","$104,716.99 ",1/1/2015,10/19/2016,,
"KEMPER, NANCY JO",H,DEM,CHALLENGER,KY,"$418,412.41 ",,"$359,304.48 ",,"$59,107.93 ","$359,304.48 ",1/8/2016,10/19/2016,,
"KENT, DAVID W.",H,DEM,CHALLENGER,TN,"$4,744.01 ",,"$3,736.61 ",,"$1,007.40 ","$3,736.61 ",2/9/2016,10/19/2016,,
"KHOURI, TONIA",H,REP,CHALLENGER,IL,"$511,497.25 ",$457.95 ,"$585,612.04 ",,"$141,799.72 ","$574,765.81 ",4/1/2015,10/19/2016,,
"KHOURY, ANTON",S,OTH,CHALLENGER,FL,"$73,821.00 ",,"$171,969.00 ",,"$42,098.00 ","$171,719.00 ",1/1/2016,10/19/2016,,
"KIMOTHO-GONZALEZ, JACQUELINE MRS.",H,REP,CHALLENGER,VA,"$20,963.00 ",,"$20,046.60 ",,$947.77 ,"$20,015.23 ",3/21/2016,10/19/2016,,
"KIRKPATRICK, ANN LEILA",S,DEM,CHALLENGER,AZ,"$7,982,691.00 ","$482,658.00 ","$8,057,807.00 ",,"$425,330.00 ","$7,673,746.00 ",5/26/2015,10/19/2016,,
"KITTS, DEREK WAYNE",H,DEM,CHALLENGER,VA,"$92,435.52 ",,"$80,976.57 ",,"$11,458.66 ","$79,268.99 ",1/1/2016,10/19/2016,,
